Path,Class,Keyterms
'../Image Data/Paintings/training/Madhubani/p65.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p71.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p59.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p58.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p70.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p64.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p105.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p111.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p139.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p107.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p113.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p9.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p72.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p66.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p99.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p98.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p67.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p73.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p8.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p112.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p106.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p102.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p116.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p77.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p63.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p88.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p89.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p62.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p76.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p117.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p103.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p115.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p101.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p129.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p48.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p60.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p74.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p75.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p61.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p49.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p128.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p100.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p114.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p119.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p131.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p125.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p3.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p44.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p50.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p78.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p87.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p93.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p92.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p86.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p79.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p51.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p45.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p2.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p124.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p130.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p118.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p126.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p132.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p53.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p47.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p90.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p84.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p85.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p91.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p46.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p52.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p1.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p133.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p127.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p123.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p137.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p5.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p56.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p42.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p95.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p81.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p80.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p94.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p43.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p57.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p4.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p136.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p122.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p134.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p120.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p108.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p6.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p69.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p41.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p55.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p82.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p96.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p97.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p83.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p54.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p40.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p68.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p7.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p109.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p121.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p135.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p152.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p146.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p191.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p185.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p27.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p218.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p33.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p32.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p219.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p26.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p184.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p190.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p147.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p153.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p179.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p145.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p151.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p186.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p192.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p30.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p24.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p18.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p19.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p25.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p31.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p193.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p187.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p150.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p144.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p178.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p140.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p154.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p168.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p183.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p197.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p35.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p21.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p20.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p34.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p196.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p182.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p169.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p155.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p141.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p157.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p143.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p194.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p180.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p22.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p36.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p209.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p208.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p37.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p23.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p181.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p195.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p142.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p156.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p173.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p167.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p198.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p12.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p205.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p211.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p210.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p204.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p13.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
'../Image Data/Paintings/training/pattachitra/p199.jpg','pattachitra',"['art', 'painting', 'odisha', 'folk', 'traditional']"
