Class,Term,Data
pattachitra,painting,"Examples: a small painting by Picasso, he bought the painting as an investment, his pictures hang in the Louvre; Synonyms: painting, picture; Hypernyms: graphic_art; Hyponyms: abstraction, cityscape, daub, distemper, finger-painting, icon, landscape, miniature, monochrome, mural, nude, oil_painting, pentimento, sand_painting, seascape, semi-abstraction, still_life, tanka, trompe_l'oeil, watercolor; Examples: he studied painting and sculpture for many years; Synonyms: painting; Hypernyms: art, fine_arts; Hyponyms: distemper, fresco, impasto, oil_painting, watercolor; Examples: you can finish the job of painting faster with a roller than with a brush; Synonyms: painting; Hypernyms: application; Hyponyms: finger-painting, spatter, spray_painting; Examples: house painting was the only craft he knew; Synonyms: painting, house_painting; Hypernyms: trade; Examples: he painted all day in the garden, He painted a painting of the garden; Synonyms: paint; Hypernyms: create; Hyponyms: bodypaint, charge, distemper, finger-paint, fresco, shade, stipple, stipple, watercolour; Examples: We painted the rooms yellow; Synonyms: paint; Hypernyms: coat; Hyponyms: airbrush, grain, prime, repaint; Examples: He painted his mistress many times; Synonyms: paint; Hypernyms: represent; Hyponyms: repaint; Synonyms: paint; Hypernyms: cover"
pattachitra,odisha,No information available in WordNet.
pattachitra,folk,"Examples: they're just country folk, folks around here drink moonshine, the common people determine the group character and preserve its customs from one generation to the next; Synonyms: folk, folks, common_people; Hypernyms: people; Hyponyms: country_people, gentlefolk, grass_roots, home_folk, rabble; Synonyms: tribe, folk; Hypernyms: social_group; Hyponyms: phyle; Examples: his family has lived in Massachusetts since the Mayflower; Synonyms: family, family_line, folk, kinfolk, kinsfolk, sept, phratry; Hypernyms: lineage; Hyponyms: dynasty, homefolk, house, name, people; Synonyms: folk_music, ethnic_music, folk; Hypernyms: popular_music; Hyponyms: country_music, folk_song, gospel, schottische, square-dance_music"
pattachitra,traditional,"Examples: traditional history, traditional morality; Synonyms: traditional; Examples: the simple security of traditional assumptions has vanished; Synonyms: traditional"
alai_minar,architecture,"Synonyms: architecture; Hypernyms: building; Examples: architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use; Synonyms: architecture; Hypernyms: discipline, fine_arts; Hyponyms: interior_design, landscape_architecture, urban_planning; Synonyms: architecture; Hypernyms: profession; Examples: the architecture of a computer's system software; Synonyms: computer_architecture, architecture; Hypernyms: structure; Hyponyms: complex_instruction_set_computing, reduced_instruction_set_computing"
alai_minar,delhi,"Synonyms: Delhi, Old_Delhi"
alai_minar,unfinished,"Synonyms: unfinished; Examples: unfinished business, the building is still unfinished; Synonyms: unfinished; Examples: bare wood, unfinished furniture; Synonyms: bare, unfinished"
alai_minar,monument,"Synonyms: memorial, monument; Hypernyms: structure; Hyponyms: brass, cenotaph, gravestone, megalith, national_monument, pantheon, Seven_Wonders_of_the_Ancient_World, triumphal_arch; Synonyms: monument; Hypernyms: site; Hyponyms: market_cross; Synonyms: repository, monument; Hypernyms: burial_chamber"
alai_minar,history,"Examples: a critical time in the school's history; Synonyms: history; Hypernyms: past; Examples: a history of France, he gave an inaccurate account of the plot to kill the president, the story of exposure to lead; Synonyms: history, account, chronicle, story; Hypernyms: record; Hyponyms: ancient_history, annals, biography, case_history, etymology, historical_document, recital; Examples: he teaches Medieval history, history takes the long view; Synonyms: history; Hypernyms: humanistic_discipline; Examples: all of human history; Synonyms: history; Hypernyms: continuum; Examples: the dawn of recorded history, from the beginning of history; Synonyms: history; Hypernyms: cognition"
basilica_of_bom_jesus,church,"Synonyms: church, Christian_church; Hypernyms: religion; Hyponyms: Armenian_Church, Catholic_Church, Coptic_Church, Nestorian_Church, Protestant_Church, Unification_Church; Examples: the church was empty; Synonyms: church, church_building; Hypernyms: place_of_worship; Hyponyms: abbey, basilica, cathedral, cathedral, kirk; Examples: don't be late for church; Synonyms: church_service, church; Hypernyms: service; Examples: our church is hosting a picnic next week; Synonyms: church; Hypernyms: body; Examples: church a woman after childbirth; Synonyms: church; Hypernyms: perform"
basilica_of_bom_jesus,goa,Synonyms: Goa
basilica_of_bom_jesus,christianity,"Synonyms: Christianity, Christian_religion; Hypernyms: religion; Hyponyms: Adventism, Albigensianism, Catholicism, Donatism, Protestantism, Tractarianism; Examples: for a thousand years the Roman Catholic Church was the principal church of Christendom; Synonyms: Christendom, Christianity; Hypernyms: body"
basilica_of_bom_jesus,history,"Examples: a critical time in the school's history; Synonyms: history; Hypernyms: past; Examples: a history of France, he gave an inaccurate account of the plot to kill the president, the story of exposure to lead; Synonyms: history, account, chronicle, story; Hypernyms: record; Hyponyms: ancient_history, annals, biography, case_history, etymology, historical_document, recital; Examples: he teaches Medieval history, history takes the long view; Synonyms: history; Hypernyms: humanistic_discipline; Examples: all of human history; Synonyms: history; Hypernyms: continuum; Examples: the dawn of recorded history, from the beginning of history; Synonyms: history; Hypernyms: cognition"
basilica_of_bom_jesus,UNESCO,"Synonyms: United_Nations_Educational_Scientific_and_Cultural_Organization, UNESCO; Hypernyms: United_Nations_agency"
golden temple,sikh,Synonyms: Sikh; Hypernyms: disciple; Synonyms: Sikh
golden temple,amritsar,No information available in WordNet.
golden temple,punjab,Synonyms: Punjab
golden temple,worship,"Synonyms: worship; Hypernyms: activity; Hyponyms: adoration, ancestor_worship, arborolatry, astrolatry, cosmolatry, deification, diabolatry, hagiolatry, heliolatry, idiolatry, idolatry, idolatry, idolization, monolatry, moon-worship, praise, prayer, pyrolatry, salat, zoolatry; Synonyms: worship, adoration; Hypernyms: love; Examples: Many teenagers idolized the Beatles; Synonyms: idolize, idolise, worship, hero-worship, revere; Hypernyms: adore; Hyponyms: drool_over; Examples: Many Hindus worship Shiva; Synonyms: worship; Hypernyms: reverence; Examples: They worship in the traditional manner; Synonyms: worship; Hypernyms: attend; Hyponyms: offer"
golden temple,architecture,"Synonyms: architecture; Hypernyms: building; Examples: architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use; Synonyms: architecture; Hypernyms: discipline, fine_arts; Hyponyms: interior_design, landscape_architecture, urban_planning; Synonyms: architecture; Hypernyms: profession; Examples: the architecture of a computer's system software; Synonyms: computer_architecture, architecture; Hypernyms: structure; Hyponyms: complex_instruction_set_computing, reduced_instruction_set_computing"
Warli,art,"Examples: an art exhibition, a fine collection of art; Synonyms: art, fine_art; Hypernyms: creation; Hyponyms: artificial_flower, commercial_art, cyberart, dance, decoupage, diptych, gem, genre, graphic_art, grotesque, kitsch, mosaic, plastic_art, triptych, work_of_art; Examples: art does not need to be innovative to be good, I was never any good at art, he said that architecture is the art of wasting space beautifully; Synonyms: art, artistic_creation, artistic_production; Hypernyms: creation; Hyponyms: arts_and_crafts, ceramics, decalcomania, decoupage, drawing, gastronomy, glyptography, origami, painting, perfumery, printmaking, sculpture, topiary; Examples: the art of conversation, it's quite an art; Synonyms: art, artistry, prowess; Hypernyms: superior_skill; Hyponyms: aviation, enology, eristic, falconry, fortification, homiletics, horology, minstrelsy, musicianship, puppetry, taxidermy, telescopy, ventriloquism; Examples: the publisher was responsible for all the artwork in the book; Synonyms: artwork, art, graphics, nontextual_matter; Hypernyms: visual_communication; Hyponyms: drawing, illustration"
Warli,tribal,Examples: tribal customs; Synonyms: tribal
Warli,maharashtra,Synonyms: Maharashtra
Warli,painting,"Examples: a small painting by Picasso, he bought the painting as an investment, his pictures hang in the Louvre; Synonyms: painting, picture; Hypernyms: graphic_art; Hyponyms: abstraction, cityscape, daub, distemper, finger-painting, icon, landscape, miniature, monochrome, mural, nude, oil_painting, pentimento, sand_painting, seascape, semi-abstraction, still_life, tanka, trompe_l'oeil, watercolor; Examples: he studied painting and sculpture for many years; Synonyms: painting; Hypernyms: art, fine_arts; Hyponyms: distemper, fresco, impasto, oil_painting, watercolor; Examples: you can finish the job of painting faster with a roller than with a brush; Synonyms: painting; Hypernyms: application; Hyponyms: finger-painting, spatter, spray_painting; Examples: house painting was the only craft he knew; Synonyms: painting, house_painting; Hypernyms: trade; Examples: he painted all day in the garden, He painted a painting of the garden; Synonyms: paint; Hypernyms: create; Hyponyms: bodypaint, charge, distemper, finger-paint, fresco, shade, stipple, stipple, watercolour; Examples: We painted the rooms yellow; Synonyms: paint; Hypernyms: coat; Hyponyms: airbrush, grain, prime, repaint; Examples: He painted his mistress many times; Synonyms: paint; Hypernyms: represent; Hyponyms: repaint; Synonyms: paint; Hypernyms: cover"
Warli,traditional,"Examples: traditional history, traditional morality; Synonyms: traditional; Examples: the simple security of traditional assumptions has vanished; Synonyms: traditional"
Kalamkari,art,"Examples: an art exhibition, a fine collection of art; Synonyms: art, fine_art; Hypernyms: creation; Hyponyms: artificial_flower, commercial_art, cyberart, dance, decoupage, diptych, gem, genre, graphic_art, grotesque, kitsch, mosaic, plastic_art, triptych, work_of_art; Examples: art does not need to be innovative to be good, I was never any good at art, he said that architecture is the art of wasting space beautifully; Synonyms: art, artistic_creation, artistic_production; Hypernyms: creation; Hyponyms: arts_and_crafts, ceramics, decalcomania, decoupage, drawing, gastronomy, glyptography, origami, painting, perfumery, printmaking, sculpture, topiary; Examples: the art of conversation, it's quite an art; Synonyms: art, artistry, prowess; Hypernyms: superior_skill; Hyponyms: aviation, enology, eristic, falconry, fortification, homiletics, horology, minstrelsy, musicianship, puppetry, taxidermy, telescopy, ventriloquism; Examples: the publisher was responsible for all the artwork in the book; Synonyms: artwork, art, graphics, nontextual_matter; Hypernyms: visual_communication; Hyponyms: drawing, illustration"
Kalamkari,textile,"Examples: the fabric in the curtains was light and semitransparent, woven cloth originated in Mesopotamia around 5000 BC, she measured off enough material for a dress; Synonyms: fabric, cloth, material, textile; Hypernyms: artifact; Hyponyms: aba, acrylic, Aertex, alpaca, baize, basket_weave, batik, batiste, belting, bombazine, boucle, broadcloth, broadcloth, brocade, buckram, bunting, calico, cambric, camel's_hair, camlet, camouflage, canopy, canvas, cashmere, cerecloth, challis, chambray, chenille, chiffon, chino, chintz, coating, cobweb, cord, cotton, cotton_flannel, crepe, cretonne, crinoline, damask, denim, diamante, diaper, dimity, doeskin, drapery, duck, duffel, elastic, etamine, faille, felt, fiber, flannel, flannelette, fleece, foulard, frieze, fustian, gabardine, georgette, gingham, grogram, grosgrain, haircloth, herringbone, homespun, hopsacking, horsehair, jaconet, jacquard, khadi, khaki, knit, lace, lame, leatherette, linen, linsey-woolsey, lint, lisle, mackinaw, mackintosh, madras, marseille, metallic, mohair, moire, moleskin, monk's_cloth, moquette, moreen, motley, mousseline_de_sole, muslin, nankeen, net, ninon, nylon, oilcloth, olive_drab, organza, paisley, panting, pepper-and-salt, percale, permanent_press, piece_of_cloth, pilot_cloth, pina_cloth, pinstripe, pique, plush, polyester, pongee, poplin, print, quilting, rayon, rep, sackcloth, sacking, sailcloth, samite, sateen, satin, satinet, screening, scrim, seersucker, serge, shag, shantung, sharkskin, sheeting, shirting, shirttail, silesia, silk, spandex, sponge_cloth, stammel, suede_cloth, suiting, swan's_down, taffeta, tammy, tapa, tapestry, tartan, terry, ticking, toweling, tweed, twill, upholstery_material, Velcro, velour, velvet, velveteen, vicuna, Viyella, voile, wash-and-wear, waterproof, web, webbing, whipcord, wincey, wire_cloth, wool, worsted, yoke; Examples: textile research; Synonyms: textile"
Kalamkari,andhra pradesh,No information available in WordNet.
Kalamkari,painting,"Examples: a small painting by Picasso, he bought the painting as an investment, his pictures hang in the Louvre; Synonyms: painting, picture; Hypernyms: graphic_art; Hyponyms: abstraction, cityscape, daub, distemper, finger-painting, icon, landscape, miniature, monochrome, mural, nude, oil_painting, pentimento, sand_painting, seascape, semi-abstraction, still_life, tanka, trompe_l'oeil, watercolor; Examples: he studied painting and sculpture for many years; Synonyms: painting; Hypernyms: art, fine_arts; Hyponyms: distemper, fresco, impasto, oil_painting, watercolor; Examples: you can finish the job of painting faster with a roller than with a brush; Synonyms: painting; Hypernyms: application; Hyponyms: finger-painting, spatter, spray_painting; Examples: house painting was the only craft he knew; Synonyms: painting, house_painting; Hypernyms: trade; Examples: he painted all day in the garden, He painted a painting of the garden; Synonyms: paint; Hypernyms: create; Hyponyms: bodypaint, charge, distemper, finger-paint, fresco, shade, stipple, stipple, watercolour; Examples: We painted the rooms yellow; Synonyms: paint; Hypernyms: coat; Hyponyms: airbrush, grain, prime, repaint; Examples: He painted his mistress many times; Synonyms: paint; Hypernyms: represent; Hyponyms: repaint; Synonyms: paint; Hypernyms: cover"
Kalamkari,traditional,"Examples: traditional history, traditional morality; Synonyms: traditional; Examples: the simple security of traditional assumptions has vanished; Synonyms: traditional"
Portrait,art,"Examples: an art exhibition, a fine collection of art; Synonyms: art, fine_art; Hypernyms: creation; Hyponyms: artificial_flower, commercial_art, cyberart, dance, decoupage, diptych, gem, genre, graphic_art, grotesque, kitsch, mosaic, plastic_art, triptych, work_of_art; Examples: art does not need to be innovative to be good, I was never any good at art, he said that architecture is the art of wasting space beautifully; Synonyms: art, artistic_creation, artistic_production; Hypernyms: creation; Hyponyms: arts_and_crafts, ceramics, decalcomania, decoupage, drawing, gastronomy, glyptography, origami, painting, perfumery, printmaking, sculpture, topiary; Examples: the art of conversation, it's quite an art; Synonyms: art, artistry, prowess; Hypernyms: superior_skill; Hyponyms: aviation, enology, eristic, falconry, fortification, homiletics, horology, minstrelsy, musicianship, puppetry, taxidermy, telescopy, ventriloquism; Examples: the publisher was responsible for all the artwork in the book; Synonyms: artwork, art, graphics, nontextual_matter; Hypernyms: visual_communication; Hyponyms: drawing, illustration"
Portrait,painting,"Examples: a small painting by Picasso, he bought the painting as an investment, his pictures hang in the Louvre; Synonyms: painting, picture; Hypernyms: graphic_art; Hyponyms: abstraction, cityscape, daub, distemper, finger-painting, icon, landscape, miniature, monochrome, mural, nude, oil_painting, pentimento, sand_painting, seascape, semi-abstraction, still_life, tanka, trompe_l'oeil, watercolor; Examples: he studied painting and sculpture for many years; Synonyms: painting; Hypernyms: art, fine_arts; Hyponyms: distemper, fresco, impasto, oil_painting, watercolor; Examples: you can finish the job of painting faster with a roller than with a brush; Synonyms: painting; Hypernyms: application; Hyponyms: finger-painting, spatter, spray_painting; Examples: house painting was the only craft he knew; Synonyms: painting, house_painting; Hypernyms: trade; Examples: he painted all day in the garden, He painted a painting of the garden; Synonyms: paint; Hypernyms: create; Hyponyms: bodypaint, charge, distemper, finger-paint, fresco, shade, stipple, stipple, watercolour; Examples: We painted the rooms yellow; Synonyms: paint; Hypernyms: coat; Hyponyms: airbrush, grain, prime, repaint; Examples: He painted his mistress many times; Synonyms: paint; Hypernyms: represent; Hyponyms: repaint; Synonyms: paint; Hypernyms: cover"
Portrait,portrait,"Synonyms: portrayal, portraiture, portrait; Hypernyms: word_picture; Examples: the photographer made excellent portraits; Synonyms: portrait, portrayal; Hypernyms: likeness; Hyponyms: half-length, self-portrait"
Portrait,canvas,"Synonyms: canvas, canvass; Hypernyms: fabric; Hyponyms: tarpaulin; Synonyms: canvas, canvass; Hypernyms: oil_painting; Examples: the crowded canvas of history, the movie demanded a dramatic canvas of sound; Synonyms: canvas, canvass; Hypernyms: setting; Synonyms: canvas_tent, canvas, canvass; Hypernyms: tent; Hyponyms: circus_tent, field_tent, Sibley_tent, wall_tent; Synonyms: sail, canvas, canvass, sheet; Hypernyms: piece_of_cloth; Hyponyms: balloon_sail, crossjack, fore-and-aft_sail, foresail, headsail, main-topsail, mainsail, press_of_sail, royal, save-all, skysail, square_sail, topgallant, topsail; Examples: the boxer picked himself up off the canvas; Synonyms: canvas, canvass; Hypernyms: mat; Synonyms: canvass, canvas; Hypernyms: solicit; Hyponyms: circularize; Synonyms: poll, canvass, canvas; Hypernyms: survey; Hyponyms: circularize; Examples: She canvassed the walls of her living room so as to conceal the ugly cracks; Synonyms: canvas; Hypernyms: cover; Examples: analyze a sonnet by Shakespeare, analyze the evidence in a criminal trial, analyze your real motives; Synonyms: analyze, analyse, study, examine, canvass, canvas; Hyponyms: anatomize, assay, audit, check, compare, diagnose, diagnose, investigate, review, screen, sieve, survey, survey, trace, view"
Portrait,artist,"Synonyms: artist, creative_person; Hypernyms: creator; Hyponyms: classic, classicist, constructivist, decorator, draftsman, etcher, expressionist, illustrator, Indiana, maestro, minimalist, modernist, musician, painter, photographer, Pre-Raphaelite, printmaker, pyrographer, romanticist, sculptor, stylist, surrealist, symbolist"
Khajuraho,temple,"Synonyms: temple; Hypernyms: place_of_worship; Hyponyms: joss_house, pagoda, pantheon; Examples: the veins in his temple throbbed; Synonyms: temple; Hypernyms: feature; Synonyms: temple; Hypernyms: building; Hyponyms: ziggurat; Synonyms: synagogue, temple, tabernacle; Hypernyms: place_of_worship"
Khajuraho,erotic,"Synonyms: erotic; Hypernyms: sensualist; Synonyms: erotic, titillating"
Khajuraho,madhya pradesh,No information available in WordNet.
Khajuraho,sculpture,"Synonyms: sculpture; Hypernyms: plastic_art, solid_figure; Hyponyms: bronze, bust, carving, marble, mobile, mold, relief, stabile, statue; Synonyms: sculpture, carving; Hypernyms: art, fine_arts; Hyponyms: modeling; Examples: sculpt a swan out of a block of ice; Synonyms: sculpt, sculpture; Hypernyms: shape; Examples: She is sculpting the block of marble into an image of her husband; Synonyms: sculpt, sculpture, grave; Hypernyms: carve"
Khajuraho,architecture,"Synonyms: architecture; Hypernyms: building; Examples: architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use; Synonyms: architecture; Hypernyms: discipline, fine_arts; Hyponyms: interior_design, landscape_architecture, urban_planning; Synonyms: architecture; Hypernyms: profession; Examples: the architecture of a computer's system software; Synonyms: computer_architecture, architecture; Hypernyms: structure; Hyponyms: complex_instruction_set_computing, reduced_instruction_set_computing"
bharatanatyam,dance,"Synonyms: dance; Hypernyms: art; Hyponyms: choreography, extension; Synonyms: dance; Hypernyms: party; Hyponyms: ball; Synonyms: dancing, dance, terpsichore, saltation; Hypernyms: diversion, performing_arts; Hyponyms: adagio, break_dancing, courante, mambo, nautch, pas_de_deux, pas_de_quatre, pas_de_trois, pas_seul, pavane, phrase, ritual_dancing, saraband, skank, slam_dancing, social_dancing, stage_dancing, step_dancing, toe_dancing; Synonyms: dance; Hypernyms: party; Hyponyms: ball, barn_dance, hop, rave; Examples: The young girl danced into the room; Synonyms: dance; Hypernyms: move; Hyponyms: capriole, chasse, glissade; Examples: My husband and I like to dance at home to the radio; Synonyms: dance, trip_the_light_fantastic, trip_the_light_fantastic_toe; Hypernyms: move; Hyponyms: belly_dance, boogie, bop, break_dance, bump, cakewalk, cha-cha, Charleston, clog, conga, contradance, disco, folk_dance, foxtrot, grind, heel, hoof, jig, jitterbug, jive, kick, mambo, one-step, polka, quickstep, rhumba, samba, shag, shimmy, skank, slam_dance, square_dance, tango, tap_dance, tapdance, twist, two-step, waltz; Examples: Dancing flames, The children danced with joy; Synonyms: dance; Hypernyms: move"
